Región de Antofagasta;Taltal;PATTERN CHILE DEVELOPMENT HOLDINGS SPA;Proyecto Solar Conejo;Solar;819;306.0;92;5
Región del Libertador Gral. Bernardo O’Higgins;Chimbarongo;Chaquihue SpA;Parque Solar Fotovoltaico Chaquihue;Solar;6.5;6.54;30;2
Región del Libertador Gral. Bernardo O’Higgins;Doñihue;Miscanti de Verano SpA;Parque Fotovoltaico Aromo del Verano;Solar;10.2;10.8;198;4
Región Metropolitana de Santiago;Colina;PV Power Chile SpA;Parque Fotovoltaico Colina;Solar;10.7;10.52;481;3
Región del Biobío;Mulchén;Parque Eólico El Nogal SpA.;Parque Eólico El Nogal;Eólica;25;13.8;312;12
Región del Biobío;Mulchén;Vientos del Valle SPA;Parque Eólico Vientos del Valle;Eólica;230;208.8;112;8
Región de Los Lagos;Cochamó;Mediterráneo S.A.;Central de Pasada Mediterráneo;Hidro;400;210.0;160;6
Región del Biobío;Quilleco-Santa Bárbara;Compañía Eléctrica Mampil;Centrales Hidroeléctricas Peuchén-Central Mampil-S/E Rucue (Mampil);Hidro;162;118.7;64;4
Región del Maule;Yerbas Buenas;PFV EL FLAMENCO SPA;Parque Fotovoltaico El Flamenco;Solar;12;12.0;147;5
Región de Los Ríos;Futrono;Empresa Eléctrica Florín S.A.;Modificación Central Hidroeléctrica Florín (ex Don Alejo). Aumento Potencia Modificación Central Hidroeléctrica Florín;Hidro;22;9.0;630;4
Región Metropolitana de Santiago;Til-Til;PSF DON DARÍO SPA;Proyecto Solar Fotovoltaico Don Darío;Solar;180;235.9;429;5
Región de Arica y Parinacota;Arica;Pesquero Solar SpA;Proyecto Fotovoltaico Pesquero;Solar;12;13.3;120;2
Región del Maule;Cauquenes;PSF LEOBIO SPA;PSF Leo Bio;Solar;7.2;8.96;161;3
Región Aisén del Gral.Carlos Ibáñez del Campo;Coyhaique;Empresa de Electricidad de Aysen, EDELAYSEN S.A.;Central Hidroeléctrica Lago Atravesado;Hidro;24;10.5;341;3
Región del Maule;Pelarco;Mineru Solar SpA;Parque Fotovoltaico Mineru Solar;Solar;100;100.0;28;5
Región de Los Ríos;La Unión;ENERGIA RENOVABLE JADE SPA;PARQUE FOTOVOLTAICO LOS ALAMOS;Solar;15;11.45;504;2
Región del Libertador Gral. Bernardo O’Higgins;Litueche;PLAN 8 Energía Infinita Ltda;Parque Eólico Litueche;Eólica;150;138.0;258;13
Región de Antofagasta;Mejillones;Volta Hidrógeno SpA;Proyecto Volta - Planta de Hidrógeno y Amoníaco Verde;Solar;2500;600.0;20;4
Región de Coquimbo;Coquimbo;Enlasa Energia S.A.;Peñon Solar II;Solar;12;11.78;84;2
Región de Arica y Parinacota;Arica;Solarpack Chile Limitada;Parque Solar Fotovoltaico San Marcos Etapa 2;Solar;10;6.79;135;5
Región de Los Lagos;Ancud;ECOPOWER S.A.C;PARQUE EOLICO CHILOE;Eólica;250;101.0;480;14
Región del Libertador Gral. Bernardo O’Higgins;San Fernando;Hidroeléctrica la Higuera S.A.;Proyecto Hidroeléctrico La Higuera;Hidro;250;155.0;30;4
Región del Maule;Retiro;MIRACEA SPA.;Parque Solar Fotovoltaico Miracea;Solar;13;9.0;7;4
Región del Maule;Linares;Granada SpA;Proyecto Solar fotovoltaico Granada;Solar;12.2;10.178;98;3
Región de La Araucanía;Curarrehue;Hidrowatt Huirinlil spa;Central Hidroeléctrica de Pasada Huirinlil;Hidro;9;3.7;18;6
Región de Tarapacá;Pozo Almonte;TAMARINDO SOLAR SPA;Proyecto Fotovoltaico con Almacenamiento Tamarindo;Solar;20;9.02;26;2
Región de Valparaíso;Zapallar-La Ligua;Duke Energy International Sol Del Mar SpA;Parque Solar Don Sebastián;Solar;70.5;47.0;240;3
Región Metropolitana de Santiago;Colina-Til-Til;Acciona Energía Chile SpA;Planta Solar Fotovoltaica Oro y Cielo;Solar;72;107.5;572;2
Región de Ñuble;San Carlos;Montejo Energía SpA;Planta Solar Fotovoltaica Mutupin;Solar;10;9.0;352;2
Región de Atacama;Copiapó-Tierra Amarilla;POWENER GENERACIÓN S.A.;Central Desierto de Atacama;Solar;220;120.0;78;4
Región de Atacama;Vallenar;Inversiones y Servicios SunEdison Chile Limitada;Parque Fotovoltaico Délano;Solar;228;114.0;81;5
Región de Tarapacá;Pozo Almonte;SELTEC ING. Ltda.;Planta fotovoltaica 9MW SELTEC ING Ltda, Provincia del Tamarugal, Región de Tarapacá;Solar;20;9.0;32;4
Región del Biobío;Mulchén;JC HIDRO SpA;Minicentrales Hidroeléctricas Quitralman 1 y 2;Hidro;5.8;1.15;96;5
Región del Biobío;Los Angeles;MVC Solar 38 SpA;Parque Fotovoltaico La Perla;Solar;9;11.016;272;5
Región Metropolitana de Santiago;Lampa;Volcán Chascón SpA;Parque Fotovoltaico Volcán Chascón;Solar;155;90.0;377;2
Región del Libertador Gral. Bernardo O’Higgins;Rengo;TIPAUME SUNLIGHT SPA;PARQUE FOTOVOLTAICO TIPAUME SUNLIGHT;Solar;10;9.59;120;4
Región de Atacama;Diego de Almagro;ACCIONA ENERGÍA CHILE SpA;PLANTA FOTOVOLTAICA MALGARIDA II;Solar;283;162.68;90;2
Región Metropolitana de Santiago;Quilicura;Inmobiliaria Cañadilla SpA;Planta Fotovoltaica Hugo Lorenzo;Solar;46;33.6;442;3
Región Metropolitana de Santiago;Calera de Tango;Olca SpA;Parque Fotovoltaico Lo Ermita del Verano;Solar;10.2;10.81;403;4
Región del Maule;San Clemente;Hydrochile S.A;Proyecto Central Hidroeléctrica Los Maquis;Hidro;91;22.3;28;3
Región de Coquimbo;Los Vilos;Parsosy Ra SpA;Proyecto Solar Los Vilos PMG;Solar;9;11.25;80;4
Región Metropolitana de Santiago;Lampa;PV Power Chile SpA;Parque Fotovoltaico Montaña;Solar;10.7;10.52;143;3
Región de Valparaíso;Nogales;NAVIO SOLAR SPA;PARQUE FOTOVOLTAICO EL NAVIO;Solar;11.1;9.27;80;3
Región Metropolitana de Santiago;Til-Til;Solek Chile Services SpA;Parque Fotovoltaico Alagua;Solar;10;10.66;468;3
Región de Los Lagos;Frutillar;Windkraft _Villa Alegre 1 SPA;Instalación de 3 Aerogeneradores Villa Alegre 1;Eólica;17;16.8;340;8
Región de La Araucanía;Curacautín;Agrícola Río Blanco S.A.;Central Hidroeléctrica Alto Cautín;Hidro;8.8;6.0;225;5
Región de Los Lagos;Frutillar;Windkraft _Villa Alegre 1 SPA;Instalación de 3 Aerogeneradores Villa Alegre 1;Eólica;17;20.4;300;14
Región del Maule;San Clemente;COLBÚN S.A.;Minicentral Hidroeléctrica Duao;Hidro;3;1.0;266;3
Región de Coquimbo;Ovalle;Eolic Partners Chile S.A.;DIA PARQUE EOLICO PACÍFICO_(CURUROS SUR);Eólica;144;72.0;144;8
Región de Antofagasta;María Elena;Enel Green Power Chile Limitada;Modificación Proyecto Fotovoltaico Valle del Sol;Solar;170;188.0;78;3
Región de Antofagasta;Calama-Ollagüe;Geotérmica del Norte S.A.;Ampliación Proyecto Central Geotérmica Cerro Pabellón;Geotérmica;200;35.0;56;10
Región Metropolitana de Santiago;Til-Til;Diana Solar SpA;Proyecto Parque Fotovoltaico El Litre;Solar;18.4;10.75;52;4
Región del Libertador Gral. Bernardo O’Higgins;Rancagua;ORION POWER S.A.;Parque Solar Fotovoltaico Quemados;Solar;12;8.5;54;2
Región del Libertador Gral. Bernardo O’Higgins;La Estrella-Litueche;Agrícola Santa Lucía Ltda.;Parque Eólico La Estrella;Eólica;105;50.0;294;16
Región del Libertador Gral. Bernardo O’Higgins;Rancagua;GR Cerro Castillo SpA;Planta Fotovoltaica Punta de Cortés;Solar;22.2;10.415;120;3
Región del Maule;Parral-Retiro;Eléctrica Digua SpA;Proyecto Hidroeléctrico Embalse Digua;Hidro;30;19.98;161;2
Región de Antofagasta;Calama;Parina Solar SpA;Parque Fotovoltaico Parina Solar;Solar;248;248.0;66;4
Región de Valparaíso;Casablanca;Andina Solar 1 SPA;Parque Fotovoltaico El Manzano;Solar;12.3;11.9;185;5
Región de Atacama;Diego de Almagro;Inmobiliaria e Inversiones Los Coihues S.A.;Proyecto Fotovoltaico Sierra Soleada;Solar;110;48.9;51;5
Región de Antofagasta;Calama;Valle de las Estrellas Solar SpA;Parque Fotovoltaico con capacidad de almacenamiento Valle de las Estrellas;Solar;19.8;9.0;14;5
Región Metropolitana de Santiago;Til-Til;Grupotec Chile Spa;Parque Fotovoltaico Montenegro;Solar;10;11.52;481;2
Región del Biobío;Los Angeles;Asociación de Canalistas del Laja;Minicentral Hidroeléctrica El Diuto Mini CHDiuto;Hidro;6.5;3.16;344;6
Región de Los Ríos;La Unión-Paillaco;Proyectos Peñaflor SpA;PARQUE EOLICO LA LUMA;Eólica;27.5;18.0;42;13
Región del Maule;Pelarco-San Clemente;Inversiones Herborn Ltda.;Central Hidroeléctrica Providencia;Hidro;30;12.9;308;2
Región de Antofagasta;Calama;Planta Solar San Pedro IV S.A.;Planta Fotovoltaica San Pedro de Atacama IV;Solar;105.2;30.0;64;4
Región de Los Ríos;Los Lagos-Panguipulli;Colbún S.A.;Central Hidroeléctrica San Pedro;Hidro;180;155.0;462;6
Región de La Araucanía;Renaico;Parronal SpA;Parque Eólico Puelche (Renaico II);Eólica;172;86.0;72;9
Región de Valparaíso;Limache;Sunco Energy Chile SpA;Parque Fotovoltaico San Alfonso;Solar;10;8.16;200;4
Región del Maule;San Clemente;Pehuenche S.A.;Central Hidroeléctrica Loma Alta;Hidro;55;38.2;105;6
Región Metropolitana de Santiago;Talagante;Varazze SpA;Planta Fotovoltaica Varazze;Solar;25;10.72;494;2
Región del Libertador Gral. Bernardo O’Higgins;San Fernando;PFV LAS CACHANAS SPA;Parque Fotovoltaico Las Cachañas;Solar;12;12.0;42;4
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;Colbún S.A.;El Encanto, Parque Fotovoltaico, Almacenamiento y Transporte de Energía;Solar;500;249.7;102;2
Región de Valparaíso;Los Andes-Calle Larga;Tercera Región Solar SpA;Meseta de Los Andes;Solar;165;191.93;130;5
Región Metropolitana de Santiago;Til-Til;BLUE SOLAR DIECISIETE SPA;Parque Solar Polpaico;Solar;7.2;7.204;104;5
Región de Valparaíso;Puchuncaví;Solar Ray 1 SpA;Solar Ray 1;Solar;40;44.4;60;4
Región de Los Lagos;Ancud;Viento Austral SpA.;Modificación Parque Eólico Ancud;Eólica;250;120.0;380;15
Región de Los Ríos;Los Lagos;Energia Renovable Perla SpA;Parque Fotovoltaico Los Lagos;Solar;15;12.46;182;2
Región Metropolitana de Santiago;Til-Til;Parsosy Belenos SpA;Proyecto Solar Til Til 2;Solar;12;12.15;559;5
Región de Ñuble;San Ignacio;Solek Chile Holding SpA;Parque Fotovoltaico El Trigal;Solar;10;10.66;560;3
