Región de Ñuble;Quirihue;Parque Solar Alcaldesa SpA;Parque Fotovoltaico Alcaldesa;Solar Fotovoltaica;7;7.113;-36.245418;-72.549001
Región del Maule;Linares;PFV PICAFLOR AZUL SPA;Parque Fotovoltaico Picaflor Azul;Solar Fotovoltaica;4;3.6;-35.831225;-71.685294
Región Metropolitana de Santiago;Lampa;Grupo energy Lancuyen spa;Planta Solar Santa Teresita;Solar Fotovoltaica;10;11.0;-33265175.0;-70784694.0
Región de Antofagasta;Tocopilla;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Lunar;Solar Fotovoltaica;13.5;10.79;-22.365518;-70.166635
Región de Tarapacá;Pozo Almonte;Arenisca Solar SpA;Proyecto Fotovoltaico Arenisca;Solar Fotovoltaica;3;4.61;-20.404249;-69.827673
Región de Antofagasta;Sierra Gorda;Cuevitas Solar SpA;Parque Fotovoltaico Cuevitas;Solar Fotovoltaica;13;14.8;-23.40644;-69.990109
Región de Ñuble;San Ignacio;Solek Chile Holding SpA;Parque Fotovoltaico El Trigal;Solar Fotovoltaica;10;10.66;-36.84987;-71.965153
Región Metropolitana de Santiago;Til-Til;CVE Proyecto Treinta y Cuatro SPA;Parque Fotovoltaico Lucía Solar;Solar Fotovoltaica;56.8;49.23;-33.093708;-70.85166
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;GR PIMIENTO SPA;Planta Fotovoltaica Alcones;Solar Fotovoltaica;11.5;9.0;-34.404396;-71.766752
Región de Valparaíso;La Ligua;PARQUE FOTOVOLTAICO LA LIGUA SPA;PMGD Cóndor La Ligua II;Solar Fotovoltaica;6;7.5;-32481705.0;-71254393.0
Región de Antofagasta;Calama;CAUCE SOLAR SpA;Parque Fotovoltaico Cauce Solar;Solar Fotovoltaica;12;9.0;-21.462904;-68.825033
Región Metropolitana de Santiago;Maipú;CVE Proyecto Cuarenta y Ocho SpA.;Hortensia Solar;Solar Fotovoltaica;11;11.898;-33.507218;-70.845044
Región del Maule;Curicó;Len SpA;Parque Solar Fotovoltaico Len;Solar Fotovoltaica;9.8;10.34;-35.036095;-71.220569
Región de Ñuble;San Ignacio-El Carmen-Pemuco;Hy2Wind SpA;Parque Eólico Los Coihues;Eólica;470;187.2;-37.0;-72.0
Región del Biobío;Arauco-Curanilahue;Parque Eólico Vientos del Pacífico SpA;Proyecto Eólico Vientos del Pacífico;Eólica;150;68.0;-37.329429;-73.552032
Región del Maule;Maule;Fotovoltaica Galleguillos SpA;Parque Fotovoltaico El Prado;Solar Fotovoltaica;11;9.0;-35.453212;-71.724111
Región de Antofagasta;Mejillones;Volta Hidrógeno SpA;Proyecto Volta - Planta de Hidrógeno y Amoníaco Verde;Solar Fotovoltaica;2500;600.0;-23.0;-70.0
Región Metropolitana de Santiago;Pudahuel;Planta Solar El Noviciado SpA.;Planta Solar El Noviciado;Solar Fotovoltaica;10;11.0;-33.40898507;-70.86319955
Región de Ñuble;Portezuelo-Ninhue;Inversiones BOSQUEMAR Ltda;Parque Renovable Entre Cerros;Eólico-Solar;100.3;90.0;-37.0;-72.0
Región de Antofagasta;María Elena;Ibereolica Solar Antofagasta SpA.;Proyecto Solar Antofagasta;Solar Fotovoltaica;532.5;550.0;-22.173237;-69.50291
Región Metropolitana de Santiago;Talagante;Flux Solar Energías Renovables SpA;Parque Fotovoltaico Talagante 2;Solar Fotovoltaica;8.1;5.85;-33.636532;-70.868765
Región de Valparaíso;El Quisco;Litoral Solar Spa;Parque Fotovoltaico Litoral Solar;Solar Fotovoltaica;10;12.0;-33.417911;-71.602239
Región del Maule;Cauquenes;PSF LEOBIO SPA;PSF Leo Bio;Solar Fotovoltaica;7.2;8.96;-35.951508;-72.364067
Región Metropolitana de Santiago;Maipú;Grupo energy Lancuyen spa;Planta Solar La Rinconada;Solar Fotovoltaica;10;11.0;-33.495804;-70.840582
Región Metropolitana de Santiago;Quilicura-Lampa;Grupo energy Lancuyen spa;Planta Solar Santo Tomás;Solar Fotovoltaica;10;11.0;-33.345154;-70.775354
Región del Libertador Gral. Bernardo O’Higgins;Coinco;MAUI SOLAR SpA;NUEVA CENTRAL SOLAR FOTOVOLTAICA LO CONTY;Solar Fotovoltaica;11.2;10.12;-34.241923;-70.92213
Región del Maule;Linares;EL NARANJAL SPA;Nueva Central Solar Fotovoltaica Pachira;Solar Fotovoltaica;10.8;10.78;-35.855389;-71.623529
