Region,n_registros,media,mediana,q1,q3,promedio,desv_estandar,cant_solar,cant_eolica,proporcion_region,porcentaje_region
Región Metropolitana de Santiago,179,0.7807524613015374,0.09523809523809523,0.010581185508613956,0.9090909090909091,0.7807524613015374,2.408531262517459,179,0,0.15143824027072758,15.143824027072759
Región del Maule,143,0.8183892592871702,0.10037523452157598,0.011981566820276499,1,0.8183892592871702,2.5130572833679783,141,1,0.12098138747884941,12.098138747884942
Región de Valparaíso,135,1.0845584501771803,0.08663366336633663,0.009451871836906076,0.9071316614420062,1.0845584501771803,3.5027975895193015,134,1,0.11421319796954314,11.421319796954315
Región del Libertador Gral. Bernardo O’Higgins,133,1.2350997469946732,0.11067193675889328,0.015015015015015015,1,1.2350997469946732,2.8227922981831135,127,3,0.11252115059221658,11.252115059221659
Región de Antofagasta,105,1.9454680187705853,0.7142857142857143,0.08633093525179857,1.3333333333333333,1.9454680187705853,4.342353994175964,84,12,0.08883248730964467,8.883248730964468
Región de Coquimbo,81,1.1182988637673166,0.15873015873015872,0.01800327332242226,1.2222222222222223,1.1182988637673166,4.665707278905763,73,7,0.06852791878172589,6.852791878172589
Región del Biobío,80,0.5638968475858067,0.16196497922840636,0.010288584374625733,1,0.5638968475858067,0.7248042139384586,50,23,0.0676818950930626,6.768189509306261
Región de Ñuble,76,0.9111224854477922,0.09593200653556172,0.009807902327014086,1,0.9111224854477922,2.4970634032972088,69,6,0.06429780033840947,6.429780033840947
Región de Atacama,75,1.3045124593407886,0.1409185803757829,0.011534773950881334,1.296551724137931,1.3045124593407886,3.489848508088147,72,3,0.06345177664974619,6.345177664974619
Región de La Araucanía,41,1.1289355726532742,0.12731481481481483,0.009963768115942028,0.7272727272727273,1.1289355726532742,4.913395211436567,28,8,0.03468697123519458,3.4686971235194584
Región de Tarapacá,41,3.5656375752594864,0.2763455136334813,0.08888888888888889,1.5277777777777777,3.5656375752594864,7.399009515148209,41,0,0.03468697123519458,3.4686971235194584
Región de Los Lagos,40,2.644645464985922,0.1437958696023212,0.08333333333333333,1.6748366013071896,2.644645464985922,8.362650651956717,9,26,0.0338409475465313,3.3840947546531304
Región de Los Ríos,26,2.848139235151625,0.20579313351659723,0.012526753907147782,1.9166666666666667,2.848139235151625,5.349243329666578,13,8,0.021996615905245348,2.199661590524535
Región de Arica y Parinacota,18,0.5194421265648175,0.09056732740943267,0.022828798251487113,0.10542301619416779,0.5194421265648175,1.764041665446091,18,0,0.015228426395939087,1.5228426395939088
Región Aisén del Gral.Carlos Ibáñez del Campo,5,3.1313319530710837,1.7222222222222223,0.11904761904761904,1.7222222222222223,3.1313319530710837,5.023165145605002,0,4,0.004230118443316413,0.4230118443316413
Región de Magallanes y de la Antártica Chilena,4,4.6744219322344325,4.697802197802197,1.4793669871794872,7.892857142857142,4.6744219322344325,3.7592595542031844,0,3,0.00338409475465313,0.338409475465313
