Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MUF;Capacidad_MW;Posicion;Plazo
Región de Valparaíso;NA;Titular1295;Nombre1295;Solar;0.24;12.79;215;2
Región de Coquimbo;NA;Titular509;Nombre509;Solar;0.288;9;92;5
Región de Los Lagos;NA;Titular812;Nombre812;Eólica;7.8;304;440;15
Región del Biobío;NA;Titular1671;Nombre1671;Solar;0.288;12;240;3
Región de Valparaíso;NA;Titular1380;Nombre1380;Solar;0.24;10.61;150;5
Región de Antofagasta;NA;Titular144;Nombre144;Solar;0.288;12.5;94;4
Región de Antofagasta;NA;Titular117;Nombre117;Solar;0.312;14.8;16;5
Región del Biobío;NA;Titular1685;Nombre1685;Solar;0.288;9;40;2
Región de Valparaíso;NA;Titular1253;Nombre1253;Solar;0.192;7.13;40;3
Región de Antofagasta;NA;Titular161;Nombre161;Solar;4.8;155;48;3
Región de Antofagasta;NA;Titular217;Nombre217;Solar;0.288;9;20;2
Región de Antofagasta;NA;Titular37;Nombre37;Eólica;6.168;280;60;13
Región de Atacama;NA;Titular308;Nombre308;Eólica;4.3608;173.25;63;15
Región del Maule;NA;Titular2050;Nombre2050;Solar;2.112;90;133;4
Región del Biobío;NA;Titular1589;Nombre1589;Hidro;0.072;3;296;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1816;Nombre1816;Solar;3.6;150.31;300;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1997;Nombre1997;Solar;0.24;11;180;5
Región del Maule;NA;Titular2243;Nombre2243;Solar;0.2112;10.83;28;4
Región de Tarapacá;NA;Titular1139;Nombre1139;Solar;0.288;11.1;7;4
Región del Biobío;NA;Titular1576;Nombre1576;Eólica;0.72;21;312;14
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2020;Nombre2020;Solar;2.352;83;252;3
Región de Valparaíso;NA;Titular1320;Nombre1320;Solar;0.24;10.88;170;5
Región de Antofagasta;NA;Titular226;Nombre226;Solar;17.04;379;6;4
Región del Maule;NA;Titular2215;Nombre2215;Solar;0.288;9;329;2
Región de Coquimbo;NA;Titular660;Nombre660;Solar;0.192;13.23;104;2
Región de Valparaíso;NA;Titular1250;Nombre1250;Solar;0.24;11.4;210;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1811;Nombre1811;Solar;0.288;10.8;180;4
Región del Maule;NA;Titular2110;Nombre2110;Solar;0.312;10.85;210;3
Región del Maule;NA;Titular2178;Nombre2178;Solar;4.8;201;119;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1758;Nombre1758;Solar;0.324;10.79;204;5
Región del Maule;NA;Titular2267;Nombre2267;Solar;0.264;10.53;49;5
Región de Valparaíso;NA;Titular1339;Nombre1339;Solar;0.3864;6.098;75;2
Región de Atacama;NA;Titular382;Nombre382;Solar;7.2;293.18;114;4
Región de Valparaíso;NA;Titular1271;Nombre1271;Solar;0.2256;10.5;210;2
Región de Valparaíso;NA;Titular1433;Nombre1433;Solar;0.252;11.6;130;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1991;Nombre1991;Solar;0.24;8.8;6;4
Región del Maule;NA;Titular2146;Nombre2146;Solar;4.8;90;35;5
