Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MMUS;Capacidad_MW;Latitud;Longitud;Plazo
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular1;Nombre1;Eólica;30;25.2;NA;NA;9
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular2;Nombre2;Eólica;62;36;NA;NA;16
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular3;Nombre3;Eólica;30;32.2;NA;NA;10
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular4;Nombre4;Eólica;30;25.2;NA;NA;8
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular5;Nombre5;Eólica;30;32.2;NA;NA;8
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular6;Nombre6;Eólica;62;36;NA;NA;15
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular7;Nombre7;Eólica;62;36;NA;NA;15
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular8;Nombre8;Eólica;62;36;NA;NA;8
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular9;Nombre9;Eólica;30;32.2;NA;NA;14
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular10;Nombre10;Eólica;62;36;NA;NA;10
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular11;Nombre11;Hidro;12;1;NA;NA;4
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular12;Nombre12;Hidro;12;1;NA;NA;6
Región de Antofagasta;NA;Titular13;Nombre13;Eólica;424;353.4;NA;NA;14
Región de Antofagasta;NA;Titular14;Nombre14;Eólica;257;280;NA;NA;12
Región de Antofagasta;NA;Titular15;Nombre15;Eólica;200;180;NA;NA;13
Región de Antofagasta;NA;Titular16;Nombre16;Eólica;400;222.6;NA;NA;14
Región de Antofagasta;NA;Titular17;Nombre17;Eólica;210;192;NA;NA;15
Región de Antofagasta;NA;Titular18;Nombre18;Eólica;200;180;NA;NA;9
Región de Antofagasta;NA;Titular19;Nombre19;Eólica;210;192;NA;NA;11
Región de Antofagasta;NA;Titular20;Nombre20;Eólica;645;336;NA;NA;14
Región de Antofagasta;NA;Titular21;Nombre21;Eólica;684;805.2;NA;NA;13
Región de Antofagasta;NA;Titular22;Nombre22;Eólica;645;336;NA;NA;16
Región de Antofagasta;NA;Titular23;Nombre23;Eólica;200;180;NA;NA;15
Región de Antofagasta;NA;Titular24;Nombre24;Eólica;671.7;462;NA;NA;11
Región de Antofagasta;NA;Titular25;Nombre25;Eólica;424;353.4;NA;NA;14
Región de Antofagasta;NA;Titular26;Nombre26;Eólica;400;222.6;NA;NA;15
Región de Antofagasta;NA;Titular27;Nombre27;Eólica;257;280;NA;NA;15
Región de Antofagasta;NA;Titular28;Nombre28;Eólica;424;353.4;NA;NA;10
Región de Antofagasta;NA;Titular29;Nombre29;Eólica;700;980;NA;NA;9
Región de Antofagasta;NA;Titular30;Nombre30;Eólica;645;336;NA;NA;8
