Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MUF;Capacidad_MW;Latitud;Longitud;Plazo;NumeroBanda
Región de Antofagasta;NA;Titular12;Nombre12;Eólica;15.48;336;NA;NA;11;100
Región de Antofagasta;NA;Titular13;Nombre13;Eólica;15.48;336;NA;NA;13;59
Región de Antofagasta;NA;Titular14;Nombre14;Eólica;6.168;280;NA;NA;11;70
Región de Antofagasta;NA;Titular15;Nombre15;Eólica;5.904;204.6;NA;NA;15;82
Región de Antofagasta;NA;Titular16;Nombre16;Eólica;16.416;805.2;NA;NA;13;76
Región de Antofagasta;NA;Titular17;Nombre17;Eólica;5.904;204.6;NA;NA;16;86
Región de Antofagasta;NA;Titular18;Nombre18;Eólica;4.8;180;NA;NA;12;71
Región de Antofagasta;NA;Titular19;Nombre19;Eólica;4.8;180;NA;NA;14;72
Región de Antofagasta;NA;Titular20;Nombre20;Eólica;5.04;192;NA;NA;11;65
Región de Antofagasta;NA;Titular21;Nombre21;Eólica;6.168;280;NA;NA;12;64
Región de Antofagasta;NA;Titular22;Nombre22;Eólica;4.8;180;NA;NA;9;97
Región de Antofagasta;NA;Titular23;Nombre23;Eólica;16.8;980;NA;NA;8;59
Región de Antofagasta;NA;Titular24;Nombre24;Eólica;4.8;162;NA;NA;8;64
Región de Antofagasta;NA;Titular25;Nombre25;Eólica;15.48;336;NA;NA;9;75
Región de Antofagasta;NA;Titular26;Nombre26;Eólica;6.168;280;NA;NA;15;85
Región de Antofagasta;NA;Titular27;Nombre27;Eólica;6.168;280;NA;NA;16;54
Región de Antofagasta;NA;Titular28;Nombre28;Eólica;10.176;353.4;NA;NA;13;71
Región de Antofagasta;NA;Titular29;Nombre29;Eólica;9.6;222.6;NA;NA;13;94
Región de Antofagasta;NA;Titular30;Nombre30;Eólica;15.48;336;NA;NA;10;84
Región de Antofagasta;NA;Titular31;Nombre31;Eólica;5.904;204.6;NA;NA;10;84
Región de Antofagasta;NA;Titular32;Nombre32;Eólica;5.04;192;NA;NA;12;100
Región de Antofagasta;NA;Titular33;Nombre33;Eólica;9.6;222.6;NA;NA;14;78
Región de Antofagasta;NA;Titular34;Nombre34;Eólica;9.6;222.6;NA;NA;8;75
Región de Antofagasta;NA;Titular35;Nombre35;Eólica;6.168;280;NA;NA;13;96
