Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MUF;Capacidad_MW;Latitud;Longitud;Plazo;NumeroBanda;Transmision
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular1;Nombre1;Eólica;0.72;32.2;NA;NA;16;25;47
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular2;Nombre2;Eólica;1.488;36;NA;NA;15;20;2
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular3;Nombre3;Eólica;0.72;32.2;NA;NA;12;6;2
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular4;Nombre4;Eólica;1.488;36;NA;NA;15;39;43
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular5;Nombre5;Eólica;1.488;36;NA;NA;16;25;20
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular6;Nombre6;Eólica;1.488;36;NA;NA;11;16;45
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular7;Nombre7;Eólica;0.72;32.2;NA;NA;15;41;32
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular8;Nombre8;Eólica;1.488;36;NA;NA;15;41;33
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular9;Nombre9;Eólica;1.488;36;NA;NA;16;24;19
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular10;Nombre10;Hidro;0.288;1;NA;NA;6;14;48
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular11;Nombre11;Hidro;0.288;1;NA;NA;2;7;6
Región de Antofagasta;NA;Titular12;Nombre12;Eólica;16.1208;462;NA;NA;15;51;99
Región de Antofagasta;NA;Titular13;Nombre13;Eólica;4.8;180;NA;NA;13;63;94
Región de Antofagasta;NA;Titular14;Nombre14;Eólica;15.48;336;NA;NA;12;84;73
Región de Antofagasta;NA;Titular15;Nombre15;Eólica;10.176;353.4;NA;NA;16;98;88
Región de Antofagasta;NA;Titular16;Nombre16;Eólica;10.176;353.4;NA;NA;11;70;74
Región de Antofagasta;NA;Titular17;Nombre17;Eólica;5.04;192;NA;NA;15;52;80
Región de Antofagasta;NA;Titular18;Nombre18;Eólica;6.168;280;NA;NA;8;78;77
Región de Antofagasta;NA;Titular19;Nombre19;Eólica;4.8;180;NA;NA;8;82;84
Región de Antofagasta;NA;Titular20;Nombre20;Eólica;5.904;204.6;NA;NA;9;63;74
Región de Antofagasta;NA;Titular21;Nombre21;Eólica;16.8;980;NA;NA;13;55;51
Región de Antofagasta;NA;Titular22;Nombre22;Eólica;15.48;336;NA;NA;9;60;77
Región de Antofagasta;NA;Titular23;Nombre23;Eólica;16.416;805.2;NA;NA;8;64;61
Región de Antofagasta;NA;Titular24;Nombre24;Eólica;9.6;222.6;NA;NA;16;75;59
Región de Antofagasta;NA;Titular25;Nombre25;Eólica;15.48;336;NA;NA;11;81;76
Región de Antofagasta;NA;Titular26;Nombre26;Eólica;10.176;353.4;NA;NA;10;58;53
Región de Antofagasta;NA;Titular27;Nombre27;Eólica;16.8;980;NA;NA;12;95;63
Región de Antofagasta;NA;Titular28;Nombre28;Eólica;10.176;353.4;NA;NA;16;71;98
Región de Antofagasta;NA;Titular29;Nombre29;Eólica;4.8;162;NA;NA;9;74;99
Región de Antofagasta;NA;Titular30;Nombre30;Eólica;10.176;353.4;NA;NA;13;60;95
Región de Antofagasta;NA;Titular31;Nombre31;Eólica;6.168;280;NA;NA;11;65;90
Región de Antofagasta;NA;Titular32;Nombre32;Eólica;16.416;805.2;NA;NA;16;81;57
Región de Antofagasta;NA;Titular33;Nombre33;Eólica;5.04;192;NA;NA;16;72;59
Región de Antofagasta;NA;Titular34;Nombre34;Eólica;10.176;353.4;NA;NA;10;67;76
Región de Antofagasta;NA;Titular35;Nombre35;Eólica;16.8;980;NA;NA;8;75;70
Región de Antofagasta;NA;Titular36;Nombre36;Eólica;10.176;353.4;NA;NA;12;78;95
Región de Antofagasta;NA;Titular37;Nombre37;Eólica;4.8;162;NA;NA;8;52;80
Región de Antofagasta;NA;Titular38;Nombre38;Eólica;16.1208;462;NA;NA;16;57;97
Región de Antofagasta;NA;Titular39;Nombre39;Eólica;10.176;353.4;NA;NA;11;84;71
Región de Antofagasta;NA;Titular40;Nombre40;Eólica-Solar;18;862.5;NA;NA;12;57;63
Región de Antofagasta;NA;Titular41;Nombre41;Eólica-Solar;14.9736;614;NA;NA;14;63;89
Región de Antofagasta;NA;Titular42;Nombre42;Eólica-Solar;20.976;1294.71;NA;NA;15;70;90
Región de Antofagasta;NA;Titular43;Nombre43;Eólica-Solar;20.976;1294.71;NA;NA;8;88;60
