Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MMUS;Capacidad_MW;Posicion
Región del Maule;Linares;PFV LAS CATITAS SPA;Parque Fotovoltaico Las Catitas;Solar;12;12.0;13
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;PARQUE FOTOVOLTAICO ANDINO OCCIDENTE II SPA;PARQUE FOTOVOLTAICO ANDINO OCCIDENTE II;Solar;150;150.31;6
Región de La Araucanía;Freire;Chilco Solar SpA;Parque Fotovoltaico Chilco Solar;Solar;10;10.33;14
Región del Libertador Gral. Bernardo O’Higgins;Graneros;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Nan;Solar;12;9.58;6
Región del Maule;Maule;Inmobiliaria e Inversiones Lancuyen SpA.;Planta Solar La Isla;Solar;10;11.0;13
Región del Libertador Gral. Bernardo O’Higgins;Santa Cruz;Grupo energy Lancuyen spa;Planta Solar Santa Cruz;Solar;10;11.0;6
Región de Ñuble;Chillán Viejo;Parque Solar El Gultro SpA;Parque Fotovoltaico Bulnes;Solar;11;10.52;3
Región de Valparaíso;Quillota;PARQUE SOLAR SAN ISIDRO SPA.;Parque Fotovoltaico San Isidro;Solar;10;10.61;2
Región del Libertador Gral. Bernardo O’Higgins;Mostazal-Codegua;Proyecto La Punta SpA;Parque Eólico La Punta;Eólica;400;364.0;6
Región de Ñuble;Bulnes;Parque Solar Aris SPA;Parque Solar Aris;Solar;9;10.87;3
Región de Los Ríos;Valdivia;PARQUE EOLICO EL ALEMAN SpA;PARQUE EOLICO EL ALEMAN 2;Eólica;20.6;13.5;4
Región del Maule;Pencahue;Torrelaguna Energía SpA;PSF Lo Figueroa;Solar;10;11.44;13
Región Metropolitana de Santiago;Til-Til;CVE Proyecto Treinta y Cuatro SPA;Parque Fotovoltaico Lucía Solar;Solar;56.8;49.23;1
Región de Atacama;Vallenar;Campanillas Solar SpA;Parque Solar Fotovoltaico Tamarico Fase II;Solar;250;169.02;16
Región de Tarapacá;Pozo Almonte;GR PEUMO SPA;Parque Fotovoltaico Pintados;Solar;13.5;9.0;8
Región del Maule;Cauquenes;Parque Solar Los Peumos SpA;Parque Fotovoltaico Tutuven;Solar;10.7;10.66;13
Región de Antofagasta;Sierra Gorda;ANDINO SOLAR SPA;Actualización proyecto fotovoltaico La Sierra y modificación línea de evacuación eléctrica;Solar;12;11.3;7
Región Metropolitana de Santiago;Colina;Chieti Solar SpA;Planta Fotovoltaica Chieti Solar;Solar;19;14.57;1
Región Metropolitana de Santiago;Colina-Til-Til;Acciona Energía Chile SpA;Planta Solar Fotovoltaica Oro y Cielo;Solar;72;112.043;1
Región del Maule;San Javier;Blue Solar Cinco SpA;Parque Solar Millahue;Solar;9.4;10.49;13
Región del Maule;San Clemente;Colbún S.A.;Minihidro El Médano;Hidro;18;6.6;13
Región del Maule;Pelarco;Mineru Solar SpA;Parque Fotovoltaico Mineru Solar;Solar;100;100.0;13
Región del Libertador Gral. Bernardo O’Higgins;Requinoa;Grupo energy Lancuyen spa;Planta Solar Liguen;Solar;6.5;9.0;6
Región Metropolitana de Santiago;Lampa;Proyecto Solar Fotovoltaico Lampa SpA;Proyecto Solar Fotovoltaico Lampa;Solar;160;108.4;1
Región del Maule;Talca;PFV LOS TORDOS SPA;Parque Fotovoltaico Los Tordos;Solar;12;12.0;13
