Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MMUS;Capacidad_MW;Latitud;Longitud;Plazo
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular1;Nombre1;Eólica;13.7373769737659;24.644396044489;NA;NA;10
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular2;Nombre2;Eólica;6.51604295256764;25.5612746149767;NA;NA;15
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular3;Nombre3;Eólica;51.2135415193631;40.8213240360984;NA;NA;15
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular4;Nombre4;Eólica;42.7966480493924;29.58415045125;NA;NA;10
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular5;Nombre5;Eólica;52.2399045364485;28.5217549125461;NA;NA;9
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular6;Nombre6;Eólica;44.4910892638355;29.361691321949;NA;NA;9
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular7;Nombre7;Eólica;70.9072415018334;43.5110206855511;NA;NA;14
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular8;Nombre8;Eólica;80.2672322178984;37.9558714479552;NA;NA;9
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular9;Nombre9;Eólica;4.29474503954777;18.1416564859585;NA;NA;15
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular10;Nombre10;Eólica;6.37431097302952;31.7449750350554;NA;NA;8
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular11;Nombre11;Hidro;12;1;NA;NA;2
Región Aisén del Gral.Carlos Ibáñez del Campo;NA;Titular12;Nombre12;Hidro;12;1;NA;NA;3
Región de Antofagasta;NA;Titular13;Nombre13;Eólica;520.86749171047;754.163271168035;NA;NA;13
Región de Antofagasta;NA;Titular14;Nombre14;Eólica;416.31227049208;322.754342482628;NA;NA;8
Región de Antofagasta;NA;Titular15;Nombre15;Eólica;941.272889972405;387.809442657183;NA;NA;9
Región de Antofagasta;NA;Titular16;Nombre16;Eólica;460.512679142823;404.371856645907;NA;NA;11
Región de Antofagasta;NA;Titular17;Nombre17;Eólica;413.174551918267;448.300728136422;NA;NA;14
Región de Antofagasta;NA;Titular18;Nombre18;Eólica;505.60826485528;422.342153276756;NA;NA;9
Región de Antofagasta;NA;Titular19;Nombre19;Eólica;1e-08;161.036680049766;NA;NA;16
Región de Antofagasta;NA;Titular20;Nombre20;Eólica;452.286173097658;511.580064885599;NA;NA;8
Región de Antofagasta;NA;Titular21;Nombre21;Eólica;497.950395265264;498.510470846544;NA;NA;15
Región de Antofagasta;NA;Titular22;Nombre22;Eólica;484.652290268019;115.015381311428;NA;NA;11
Región de Antofagasta;NA;Titular23;Nombre23;Eólica;635.880469304471;422.731565169474;NA;NA;15
Región de Antofagasta;NA;Titular24;Nombre24;Eólica;314.781269785336;406.62040678161;NA;NA;14
Región de Antofagasta;NA;Titular25;Nombre25;Eólica;397.199945412591;971.330010306644;NA;NA;14
Región de Antofagasta;NA;Titular26;Nombre26;Eólica;804.08481531859;1300.83024393808;NA;NA;13
Región de Antofagasta;NA;Titular27;Nombre27;Eólica;944.64062449355;150.627925300844;NA;NA;12
Región de Antofagasta;NA;Titular28;Nombre28;Eólica;531.039700569676;289.559592139236;NA;NA;10
Región de Antofagasta;NA;Titular29;Nombre29;Eólica;441.286918608492;114.22737002425;NA;NA;12
Región de Antofagasta;NA;Titular30;Nombre30;Eólica;648.231775791698;374.884583834264;NA;NA;16
Región de Antofagasta;NA;Titular31;Nombre31;Eólica;708.087951259612;319.259207323188;NA;NA;12
Región de Antofagasta;NA;Titular32;Nombre32;Eólica;441.833701912391;1e-08;NA;NA;14
Región de Antofagasta;NA;Titular33;Nombre33;Eólica;496.899074567595;50.869999544572;NA;NA;11
Región de Antofagasta;NA;Titular34;Nombre34;Eólica;621.530477001938;749.574295864183;NA;NA;16
Región de Antofagasta;NA;Titular35;Nombre35;Eólica;566.303147915664;478.205517001337;NA;NA;12
Región de Antofagasta;NA;Titular36;Nombre36;Eólica;411.591352614889;525.36097966785;NA;NA;8
Región de Antofagasta;NA;Titular37;Nombre37;Eólica;330.127317405927;7.49083143307797;NA;NA;14
Región de Antofagasta;NA;Titular38;Nombre38;Eólica;561.321215412937;480.924275183833;NA;NA;13
Región de Antofagasta;NA;Titular39;Nombre39;Eólica;341.747580027988;1e-08;NA;NA;9
Región de Antofagasta;NA;Titular40;Nombre40;Eólica;501.600617342036;1043.84669518898;NA;NA;10
Región de Antofagasta;NA;Titular41;Nombre41;Eólica-Solar;601.180588610708;655.663935449845;NA;NA;10
Región de Antofagasta;NA;Titular42;Nombre42;Eólica-Solar;752.980420990618;212.310012539627;NA;NA;13
Región de Antofagasta;NA;Titular43;Nombre43;Eólica-Solar;592.814912491165;583.1818633463;NA;NA;14
Región de Antofagasta;NA;Titular44;Nombre44;Eólica-Solar;736.45351762672;723.871201306937;NA;NA;10
Región de Antofagasta;NA;Titular45;Nombre45;Eólica-Solar;836.166176416404;188.177889289913;NA;NA;8
Región de Antofagasta;NA;Titular46;Nombre46;Eólica-Solar;250.083587941074;1e-08;NA;NA;9
Región de Antofagasta;NA;Titular47;Nombre47;Eólica-Solar;318.799773883883;280.007844013031;NA;NA;13
Región de Antofagasta;NA;Titular48;Nombre48;Eólica-Solar;721.779994643893;920.760544792606;NA;NA;9
Región de Antofagasta;NA;Titular49;Nombre49;Eólica-Solar;943.133056247545;1e-08;NA;NA;12
Región de Antofagasta;NA;Titular50;Nombre50;Eólica-Solar;918.172080163577;805.15541001512;NA;NA;15
Región de Antofagasta;NA;Titular51;Nombre51;Eólica-Solar;242.462794369945;40.0058344057222;NA;NA;15
